Elenco Uffici Scolastici Regionali (USR) - Tabella 2026,,,,
,,,,
Regione,Sito Web Ufficiale,Working site,Email Direzione,PEC Istituzionale
Abruzzo,www.miur.gov.it/web/abruzzo,https://www.mim.gov.it/web/abruzzo,direzione-abruzzo@istruzione.it,drab@postacert.istruzione.it
Basilicata,www.basilicata.istruzione.it,https://www.mim.gov.it/web/basilicata,direzione-basilicata@istruzione.it,drba@postacert.istruzione.it
Calabria,www.istruzione.calabria.it,https://www.istruzione.calabria.it/,direzione-calabria@istruzione.it,drcal@postacert.istruzione.it
Campania,www.campania.istruzione.it,https://www.mim.gov.it/web/miur-usr-campania,direzione-campania@istruzione.it,drca@postacert.istruzione.it
Emilia-Romagna,istruzioneer.gov.it,istruzioneer.gov.it,direzione-emiliaromagna@istruzione.it,drer@postacert.istruzione.it
Friuli V.G.,www.scuola.fvg.it,https://usrfvg.gov.it/it/home/index.html,direzione-friuliveneziagiulia@istruzione.it,drfr@postacert.istruzione.it
Lazio,www.usrlazio.it,https://www.ufficioscolasticoregionalelazio.it/,direzione-lazio@istruzione.it,drla@postacert.istruzione.it
Liguria,www.istruzioneliguria.it,https://www.istruzioneliguria.gov.it/,direzione-liguria@istruzione.it,drli@postacert.istruzione.it
Lombardia,usr.istruzione.lombardia.gov.it,https://www.mim.gov.it/web/usr-lombardia/,direzione-lombardia@istruzione.it,drlo@postacert.istruzione.it
Marche,www.marche.istruzione.it,https://www.mim.gov.it/web/miur-usr-marche/,direzione-marche@istruzione.it,drma@postacert.istruzione.it
Molise,www.miur.gov.it/web/molise,https://www.mim.gov.it/web/molise/notizie,direzione-molise@istruzione.it,dromo@postacert.istruzione.it
Piemonte,www.istruzionepiemonte.it,https://www.istruzionepiemonte.it/,direzione-piemonte@istruzione.it,drpi@postacert.istruzione.it
Puglia,www.pugliausr.gov.it,https://www.pugliausr.gov.it/,direzione-puglia@istruzione.it,drpu@postacert.istruzione.it
Sardegna,www.sardegna.istruzione.it,https://www.mim.gov.it/web/usr-sardegna/notizie,direzione-sardegna@istruzione.it,drsa@postacert.istruzione.it
Sicilia,www.usr.sicilia.it,https://www.usr.sicilia.it/tutte-le-news/,direzione-sicilia@istruzione.it,drsi@postacert.istruzione.it
Toscana,www.miur.gov.it/web/miur-usr-toscana,https://www.mim.gov.it/web/miur-usr-toscana/notizie,direzione-toscana@istruzione.it,drto@postacert.istruzione.it
Umbria,istruzione.umbria.it,https://istruzione.umbria.it/,direzione-umbria@istruzione.it,drum@postacert.istruzione.it
Veneto,istruzioneveneto.gov.it,https://istruzioneveneto.gov.it/notizie-usr-veneto-lista/,direzione-veneto@istruzione.it,drve@postacert.istruzione.it
Provincia Autonoma di Trento,www.vivoscuola.it,https://www.vivoscuola.it/tags/view/Vedi%20tutto?blockname=News&class_filter=deliberazione;determinazione;circolare;article;file;link;concorso&states=21;23,,serv.istruzione@pec.provincia.tn.it
Provincia Autonoma di Bolzano,www.provincia.bz.it/intendenza-scolastica,"https://scuola-italiana.provincia.bz.it/it/pubblicazioni,

https://scuola-italiana.provincia.bz.it/it/news",,bildung-projekte@pec.prov.bz.it
Valle d'Aosta,www.regione.vda.it/istruzione,NA,,istruzione@pec.regione.vda.it
