Regione,Sito Web Ufficiale
Abruzzo,https://www.mim.gov.it/web/abruzzo/notizie
Basilicata,https://www.mim.gov.it/web/basilicata/notizie
Calabria,https://www.istruzione.calabria.it/notizie/
Campania,https://www.mim.gov.it/web/miur-usr-campania/notizie
Lombardia,https://www.mim.gov.it/web/usr-lombardia/comunicazioni
Marche,https://www.mim.gov.it/web/miur-usr-marche/novit%C3%A0-dall-usr-marche
Molise,https://www.mim.gov.it/web/molise/notizie
Sardegna,https://www.mim.gov.it/web/usr-sardegna/notizie
Toscana,https://www.mim.gov.it/web/miur-usr-toscana/notizie
Umbria,https://istruzione.umbria.it/
Emilia-Romagna,https://www.istruzioneer.gov.it/tutte-le-notizie/
Emilia-Romagna,https://www.istruzioneer.gov.it/
Lazio,https://www.ufficioscolasticoregionalelazio.it/home/
Puglia,https://www.pugliausr.gov.it/
Friuli V.G.,https://usrfvg.gov.it/it/home/menu/uffici/Direzione/
Provincia Autonoma di Trento,https://www.vivoscuola.it
Liguria 1,https://www.istruzioneliguria.gov.it/archivio-news
Liguria 2,https://www.istruzioneliguria.gov.it
Piemonte,https://www.istruzionepiemonte.it
Sicilia 1,https://www.usr.sicilia.it/tutte-le-news/
Sicilia 2,https://www.usr.sicilia.it
