Regione,Sito Web Ufficiale,Keywords
Abruzzo,https://www.mim.gov.it/web/abruzzo/notizie,"Procedura di conferimento, Graduatorie di merito"
Basilicata,https://www.mim.gov.it/web/basilicata/notizie,"DECRETO MINISTRIALE N. 269, Potenziamento 2261, Nota USR iscrizioni"
Calabria,https://www.istruzione.calabria.it/notizie/,"Procedura di conferimento, Graduatorie di merito"
Campania,https://www.mim.gov.it/web/miur-usr-campania/notizie,"DECRETO MINISTRIALE N. 269, Potenziamento 2261, Nota USR iscrizioni"
Emilia-Romagna,https://www.istruzioneer.gov.it/tutte-le-notizie/,"Procedura di conferimento, Graduatorie di merito"
Friuli V.G.,https://usrfvg.gov.it/it/home/menu/uffici/Direzione/,"DECRETO MINISTRIALE N. 269, Potenziamento 2261, Nota USR iscrizioni"
Lazio,https://www.ufficioscolasticoregionalelazio.it/home/,"Procedura di conferimento, Graduatorie di merito"
Liguria 1,https://www.istruzioneliguria.gov.it/,"DECRETO MINISTRIALE N. 269, Potenziamento 2261, Nota USR iscrizioni"
Liguria 2,https://www.istruzioneliguria.gov.it/archivio-news,"Procedura di conferimento, Graduatorie di merito"
Lombardia,https://www.mim.gov.it/web/usr-lombardia/comunicazioni,"DECRETO MINISTRIALE N. 269, Potenziamento 2261, Nota USR iscrizioni"
Marche,https://www.mim.gov.it/web/miur-usr-marche/novit%C3%A0-dall-usr-marche,"Procedura di conferimento, Graduatorie di merito"
Molise,https://www.mim.gov.it/web/molise/notizie,"DECRETO MINISTRIALE N. 269, Potenziamento 2261, Nota USR iscrizioni"
Piemonte,https://www.istruzionepiemonte.it/,"Procedura di conferimento, Graduatorie di merito"
Puglia,https://www.pugliausr.gov.it/,"DECRETO MINISTRIALE N. 269, Potenziamento 2261, Nota USR iscrizioni"
Sardegna,https://www.mim.gov.it/web/usr-sardegna/notizie,"Procedura di conferimento, Graduatorie di merito"
Sicilia 1,https://www.usr.sicilia.it/tutte-le-news/,"DECRETO MINISTRIALE N. 269, Potenziamento 2261, Nota USR iscrizioni"
Sicilia 2,https://www.usr.sicilia.it,"Procedura di conferimento, Graduatorie di merito"
Toscana,https://www.mim.gov.it/web/miur-usr-toscana/notizie,"DECRETO MINISTRIALE N. 269, Potenziamento 2261, Nota USR iscrizioni"
Umbria,https://istruzione.umbria.it/,"Procedura di conferimento, Graduatorie di merito"
Provincia Autonoma di Trento,https://www.vivoscuola.it/,"Procedura di conferimento, Graduatorie di merito"
Provincia Autonoma di Bolzano 1,https://scuola-italiana.provincia.bz.it/it/pubblicazioni,"DECRETO MINISTRIALE N. 269, Potenziamento 2261, Nota USR iscrizioni"
Provincia Autonoma di Bolzano 2,https://scuola-italiana.provincia.bz.it/it/news,"Procedura di conferimento, Graduatorie di merito"
Valle d'Aosta 1,https://pubblicitalegale.anticorruzione.it/bandi,"DECRETO MINISTRIALE N. 269, Potenziamento 2261, Nota USR iscrizioni"
Valle d'Aosta 2,https://pubblicitalegale.anticorruzione.it/avvisi,"Procedura di conferimento, Graduatorie di merito"
